time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1667332951000264200,105.06426416015626,234.6934152022004,1.468339475814858,42.84885855469377,35.95427232789523,266.1034150496125,66.35835571460862,4.856503448791636,3.199829883706911,-83.93834282302548,1.3901693079948525
1667332952000266500,106.0642666015625,234.53580938559026,1.3538285881300711,37.0068812971562,35.954274368789484,265.94580923300236,71.31238484994292,4.811619401736752,3.2669336947081273,-83.93832366763282,1.3999264106882447
1667332953000269000,107.06426904296875,234.5372259290889,1.1358597675473197,30.875647898945132,35.9542811476809,265.947225776501,70.04536364248439,4.804682901534449,3.2771266756857815,-83.93830793167209,1.4470177884803883
1667332954000270300,108.06427026367187,234.68676088377833,1.0348758523377068,24.73870922051849,35.95428246035654,266.09676073119044,75.2212486907093,4.79879395408989,3.285743997784849,-83.9382912739731,1.5362227151049235
1667332955000272600,109.06427270507812,234.23778132908046,1.2895917108255812,33.10330217364894,35.954296961230824,265.6477811764926,71.61985334150152,4.801034674920167,3.2824690528629565,-83.93827539286033,1.5381107649194254
1667332956000274700,110.06427465820312,234.5327411815524,1.071079137636309,35.90333431019081,35.95430914608162,265.9427410289645,64.62240622894929,4.803847951514247,3.2783504833256023,-83.93826034494373,1.2855265776573477
1667332957000276000,111.06427587890624,234.43060976453125,1.315906459180221,42.21424834476069,35.95431790609018,265.84060961194336,58.317309631932396,4.794297122654073,3.2923019503836093,-83.93824894824185,1.340859259546349
1667332958000278300,112.0642783203125,234.41321006324142,1.2675780060096133,32.110806783707226,35.954324810650405,265.82320991065353,63.39390138380427,4.79098726711731,3.297116625039013,-83.93822522415964,1.6442895134943039
1667332959000279800,113.06427978515624,234.84464580658823,0.7366166048675338,31.151452608835427,35.954330346039505,266.25464565400034,71.67398129289987,4.787122613229977,3.3027252563134932,-83.93821435046863,1.154314964247938
1667332960000281300,114.06428125,234.57132529933006,1.3305479192621064,35.67409165544455,35.95433628574218,265.98132514674217,67.6298938669701,4.7990593441976035,3.2853563647888344,-83.93819694189636,1.5005642047391743
1667332961000283000,115.06428295898438,234.53323448449373,1.341879854831043,31.30911135327302,35.95433874211158,265.94323433190584,71.91596935164186,4.8194573633850375,3.2553598503548846,-83.93817412663677,1.7287075990106027
1667332962000284700,116.06428466796875,234.4940879996866,0.8563037273239257,35.88737054868266,35.954339519836694,265.9040878470987,71.35507793949131,4.846129300908177,3.215519838481496,-83.93816879780704,1.154085967969299
1667332963000287000,117.06428686523438,234.54982809443027,1.3305884672617383,23.214359753705207,35.95433049063169,265.9598279418424,87.31914624850786,4.876433275169404,3.169374630050766,-83.93812982380632,2.1596563088775644
1667332964000289000,118.0642890625,234.5384813202545,0.9240232352217823,32.73665460227642,35.95434406190305,265.9484811676666,72.29974834955384,4.834256671489046,3.2333418419574023,-83.93812656462819,1.2330280057879899
