time,seconds_elapsed,z,y,x
1667776537734111200,251.221111328125,-3.282156461563706,9.189571994623542,-0.9744674020819365
1667776537744163600,251.23116357421875,-3.320861455272138,9.158497057402133,-1.1243597843203692
1667776537754214400,251.24121435546874,-3.2945313744902607,9.153127639323472,-1.2396433561228215
1667776537764265500,251.25126538085937,-3.214352214621007,9.172557146936654,-1.3048013263404368
1667776537774317600,251.26131762695312,-3.0965491342782974,9.21432240499854,-1.2953855554804206
1667776537784368600,251.27136865234374,-2.969894638960063,9.269172185561061,-1.1968973433952779
1667776537794419500,251.28141943359375,-2.843664214272797,9.33058614694476,-1.0119956070959568
1667776537804471600,251.29147143554687,-2.674992239697277,9.404680726203322,-0.752847315846756
1667776537814522600,251.30152270507813,-2.4530799655824898,9.483889287474751,-0.4567633055839687
1667776537824573400,251.31157348632811,-2.228677482087165,9.548445054015517,-0.17489402742814272
1667776537834625500,251.32162548828126,-2.038084329213202,9.592314006358384,0.06434469477308448
1667776537844676600,251.33167651367188,-1.8330641531884668,9.63005132407844,0.26898999590370803
1667776537854727400,251.3417275390625,-1.568983447038382,9.6698514195472,0.45014008805193007
1667776537864779500,251.35177954101562,-1.251227703193575,9.70689140265286,0.6173164172422141
1667776537874830600,251.36183056640624,-0.8949261017248034,9.733798698800802,0.7890938835524022
1667776537884881400,251.37188134765626,-0.4857518649853766,9.746447167971729,0.9701728466931729
1667776537894933500,251.38193359375,-0.07124735486758872,9.738736739724875,1.1499139122936874
1667776537904984300,251.391984375,0.28705606967657804,9.707433254444599,1.3615138320349156
1667776537915035100,251.40203515625,0.6011918694585562,9.654058222609757,1.6149632540553807
1667776537925087200,251.41208715820312,0.9170040780201554,9.579141221052408,1.8893198550261556
1667776537935138300,251.42213818359374,1.2581252076223493,9.475434178340434,2.1917206472203135
1667776537945189000,251.43218920898437,1.5955309699632227,9.335362275305389,2.5447385508432983
1667776537955241200,251.4422412109375,1.8971056865967808,9.170047209942341,2.9123177715212103
1667776537965292300,251.45229223632813,2.174971026340872,9.000606589081883,3.229388455711305
1667776537975343000,251.46234301757812,2.4620976770356298,8.826237279647588,3.493707792922854
1667776537985395200,251.47239526367187,2.7448534191697833,8.641855110242963,3.735576521134376
1667776537995446300,251.4824462890625,3.0009844814896582,8.458531509980558,3.951925023642182
1667776538005497300,251.49249731445312,3.237328016538918,8.288223458635807,4.1225571923747655
1667776538015549200,251.50254907226562,3.482995552511513,8.13442873519659,4.227318128053843
1667776538025600300,251.51260034179688,3.7574671581640837,7.992529616734385,4.26277814849168
1667776538035651300,251.5226513671875,4.052895334866642,7.861105715057254,4.236442222490907
1667776538045703200,251.532703125,4.346479052746296,7.74695385069847,4.154905510532855
1667776538055754200,251.54275415039064,4.600347138570249,7.66399967315793,4.033648782604932
1667776538065805300,251.55280541992187,4.7927454411700365,7.619566072669625,3.8912946138516067
1667776538075857200,251.56285717773437,4.909895026040077,7.615719334113598,3.7502185022100805
1667776538085908200,251.572908203125,4.91522177402079,7.6574214638113975,3.6571693393737075
1667776538095959300,251.58295922851562,4.783426408682764,7.751515459525585,3.633626258961856
1667776538106011100,251.59301123046876,4.5462397008076305,7.896544692707061,3.6258316595628854
1667776538116062200,251.60306225585938,4.270524817095697,8.07549548471272,3.5664205624341965
1667776538126113300,251.61311328125,4.022486168077588,8.25369633513391,3.4447789268419147
1667776538136165000,251.6231650390625,3.791101716740429,8.41863613744378,3.3052225721135735
1667776538146216200,251.63321630859375,3.5497613963171837,8.574952488315105,3.168555509085953
1667776538156267300,251.64326733398437,3.2989386695384977,8.720887730425595,3.0386738684147594
1667776538166319000,251.65331909179687,3.0470939062356948,8.853197182765603,2.9165953027099367
1667776538176370200,251.6633701171875,2.790484997271001,8.971507335847615,2.8099127513185143
1667776538186421200,251.67342114257812,2.5111215279236436,9.07159443449676,2.7515169687122105
1667776538196473000,251.68347314453126,2.183559698726982,9.136005239608883,2.8170684682920575
1667776538206524200,251.6935241699219,1.7779612746477127,9.154664347371458,3.0333754697456956
1667776538216575200,251.7035751953125,1.3632996925383805,9.151226774138213,3.250670313192904
1667776538226627000,251.713626953125,1.0873010965142398,9.153539142733813,3.346770095771551
1667776538236678100,251.72367822265625,0.9635570087499916,9.19052710339129,3.282701235964894
1667776538246729200,251.73372924804687,0.9259596109572797,9.285390329912305,3.015709464673698
1667776538256781000,251.74378100585938,0.9099332628510892,9.414035999047755,2.5919734724879264
1667776538266832100,251.75383203125,0.8742832727991044,9.530915827065705,2.137205067048222
1667776538276883200,251.76388330078126,0.8290309032738208,9.619104398128389,1.71927893018499
1667776538286935000,251.77393505859374,0.7731248185914009,9.681421445831656,1.35746806377545
1667776538296986000,251.7839860839844,0.692164737477526,9.724693016803265,1.059075995765999
1667776538307037200,251.794037109375,0.5532211078200489,9.758746677574514,0.7944694391109048
1667776538317089000,251.80408911132812,0.30980149690471587,9.788608147352933,0.5075129938839004
1667776538327140000,251.81414013671875,-0.03643236118488712,9.804813432222604,0.18631273560840636
1667776538337191200,251.82419116210937,-0.463623437144421,9.794746796238423,-0.13554022355531342
1667776538347243000,251.83424291992188,-0.9686319008614868,9.7497643296957,-0.4174281607458368
1667776538357294000,251.84429418945314,-1.5060031131207943,9.669343470025062,-0.6372894571475685
1667776538367345200,251.85434521484376,-1.984732824384421,9.570544657620786,-0.7974431942246853
1667776538377397000,251.86439697265624,-2.3791120814435183,9.46706733201146,-0.9406545643292367
1667776538387448000,251.87444799804686,-2.7319436687141656,9.353761270827054,-1.10181974347122
1667776538397499100,251.8844990234375,-3.060967241026461,9.229143542033434,-1.2742736477382481
1667776538407551200,251.89455126953126,-3.3378938386157153,9.106222095763682,-1.4510614164911209
1667776538417602000,251.90460205078125,-3.561886133874953,8.990868454399704,-1.6271562345437705
1667776538427653000,251.91465307617187,-3.7406472485274076,8.883440345337986,-1.8062210083179175
1667776538437705200,251.92470532226562,-3.8669960388973355,8.78928906647861,-1.9912606187179684
1667776538447756000,251.93475610351564,-3.9419817217767235,8.713842488089202,-2.167974445451796
1667776538457807000,251.94480712890626,-3.9574323888868093,8.668414031344652,-2.3168320047497746
1667776538467859200,251.95485913085938,-3.8868972556754944,8.672113470384478,-2.420096418260783
1667776538477910300,251.96491015625,-3.7409202202498912,8.727721960359812,-2.4500574028909203
1667776538487961000,251.97496118164062,-3.58401934748888,8.816727693024276,-2.3644234847471117
1667776538498013200,251.98501318359374,-3.447638700187206,8.925397911101578,-2.1497540213674307
1667776538508064300,251.9950642089844,-3.303715966942906,9.05046279914081,-1.8289273456446826
1667776538518115300,252.005115234375,-3.1285780112236736,9.182854084545374,-1.434427384815365
1667776538528167200,252.01516723632812,-2.92311739795506,9.306430195331574,-1.0080267034649848
1667776538538218200,252.02521826171875,-2.6882205545827746,9.412515073090791,-0.5902684705145657
1667776538548269300,252.03526928710937,-2.440797845505923,9.495442947146296,-0.22241291711330413
1667776538558321200,252.04532104492188,-2.192663481028378,9.558071545016764,0.07669369237367063
1667776538568372200,252.05537231445314,-1.9199197220817208,9.611123920768499,0.3325580300487578
1667776538578423300,252.06542333984376,-1.5787531459026038,9.662938863679766,0.5527405212288722
1667776538588475100,252.07547509765624,-1.1826003763649613,9.707887427952885,0.7271524642284959
1667776538598526200,252.08552612304686,-0.7517218189481646,9.743113055112957,0.8228384783744812
1667776538608577300,252.09557739257812,-0.28257050349405033,9.764110834956169,0.8675864785742015
1667776538618629000,252.10562915039063,0.2054081706953235,9.759341136336326,0.9399421782761812
1667776538628680200,252.11568017578125,0.6917999227531254,9.72013257701993,1.100376266664639
1667776538638731300,252.12573120117187,1.1644030408952384,9.63909504675567,1.3792761370882392
1667776538648783000,252.135783203125,1.593419823028147,9.515328966355323,1.7578167506329714
1667776538658834200,252.14583422851564,1.9669126516640185,9.358464333951472,2.1727305539377033
1667776538668885200,252.15588525390626,2.30319408615008,9.187288267600536,2.5415420928895474
1667776538678937000,252.16593701171874,2.6380425652235746,9.005309067684411,2.8487749814152714
1667776538688988200,252.17598828125,2.9715432829499244,8.803665382355451,3.136205145101249
1667776538699039200,252.18603930664062,3.2819188534155486,8.58906167768836,3.409896706292033
1667776538709091000,252.19609106445313,3.5820357724562286,8.382694470968842,3.6152222950041293
1667776538719142100,252.20614208984375,3.9024341397643085,8.194527522328496,3.7136329848736525
1667776538729193200,252.21619311523438,4.232589054194093,8.029590058106184,3.7123096273154017
1667776538739245000,252.2262451171875,4.526488121633231,7.9000103229910135,3.6429566896259784
1667776538749296000,252.2362961425781,4.761862519389391,7.813800358524918,3.5269822860151527
1667776538759347200,252.24634716796874,4.938849317845702,7.769995703589916,3.3771702024713157
1667776538769399000,252.25639892578124,5.0576440395742654,7.763426846593618,3.2124498881310224
1667776538779450000,252.2664501953125,5.086013224968314,7.794845482686162,3.089218060737848
1667776538789501200,252.27650122070312,4.980097274035215,7.872793230241537,3.06400909294039
1667776538799553300,252.28655322265624,4.74440694219768,7.99899150622487,3.1108062076896426
1667776538809604000,252.29660400390625,4.435790782620012,8.163612159582971,3.1384011938408016
1667776538819655200,252.3066552734375,4.1324154463052745,8.341367019802332,3.0846555751278997
1667776538829707300,252.31670727539063,3.878295139285922,8.513535604321957,2.940907321667671
1667776538839758000,252.3267580566406,3.6769051364570853,8.665967807236314,2.748041109295189
1667776538849809200,252.33680908203124,3.5021684550151226,8.801768608823417,2.5365458920374513
